total_result,block_size,color_channel,bin_width,coefficients
0.8114,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)]
0.6637,2,ChannelYUV.V,0.1,[(1|1)(0|1)(0|0)(1|0)]
0.7529,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)(5|5)(5|4)(5|3)(5|2)(5|1)(4|4)(4|3)(4|2)(4|1)(4|0)]
0.7727,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)(5|5)(5|4)(5|3)(5|2)(5|1)]
0.7968,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)(5|5)(5|4)]
0.8114,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)(5|5)]
0.8004,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)(5|4)]
