total_result,block_size,color_channel,bin_width,coefficients
0.7091,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7310,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6279,6,ChannelYUV.U,0.1,[(0|2)]
0.6645,6,ChannelYUV.V,0.1,[(0|2)]
0.5651,6,ChannelYUV.U,0.1,[(3|5)]
0.5614,6,ChannelYUV.V,0.1,[(3|5)]
0.7325,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7785,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8509,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8260,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7186,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7266,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7178,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7712,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7478,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7880,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8692,6,ChannelYUV.U,0.1,[(0|5)]
0.8253,6,ChannelYUV.V,0.1,[(0|5)]
0.7193,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7719,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7120,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7354,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7149,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7522,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.6923,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7449,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5307,8,ChannelYUV.U,0.1,[(5|3)]
0.5168,8,ChannelYUV.V,0.1,[(5|3)]
0.7822,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7259,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6835,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7259,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7346,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.8165,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7551,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.8004,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5146,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5175,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5365,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5344,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6031,8,ChannelYUV.U,0.1,[(2|2)]
0.6572,8,ChannelYUV.V,0.1,[(2|2)]
0.7449,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7719,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.6886,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7069,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.4883,8,ChannelYUV.U,0.1,[(7|5)]
0.5190,8,ChannelYUV.V,0.1,[(7|5)]
