total_result,block_size,color_channel,bin_width,coefficients
0.2697,14,ChannelYUV.Y,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.6988,14,ChannelYUV.U,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.7310,14,ChannelYUV.V,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.1915,14,ChannelYUV.Y,0.1,[(0|0)(6|4)]
0.5227,14,ChannelYUV.U,0.1,[(0|0)(6|4)]
0.4810,14,ChannelYUV.V,0.1,[(0|0)(6|4)]
0.7544,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7544,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7602,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7193,6,ChannelYUV.U,0.1,[(0|2)]
0.7690,6,ChannelYUV.V,0.1,[(0|2)]
0.5775,6,ChannelYUV.U,0.1,[(3|5)]
0.5987,6,ChannelYUV.V,0.1,[(3|5)]
0.7632,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7712,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8677,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8034,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7858,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7734,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7741,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7880,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7712,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7917,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8735,6,ChannelYUV.U,0.1,[(0|5)]
0.8275,6,ChannelYUV.V,0.1,[(0|5)]
0.7610,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7814,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7675,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7902,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7566,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7741,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7230,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7259,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.6045,8,ChannelYUV.U,0.1,[(5|3)]
0.5914,8,ChannelYUV.V,0.1,[(5|3)]
0.8297,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7792,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.7281,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7405,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7785,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7880,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7880,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7858,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5461,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5205,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.6126,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5680,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6842,8,ChannelYUV.U,0.1,[(2|2)]
0.6937,8,ChannelYUV.V,0.1,[(2|2)]
0.7661,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7741,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7361,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7493,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5526,8,ChannelYUV.U,0.1,[(7|5)]
0.5285,8,ChannelYUV.V,0.1,[(7|5)]
