total_result,block_size,color_channel,bin_width,coefficients
0.7061,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7610,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6776,6,ChannelYUV.U,0.1,[(0|2)]
0.7851,6,ChannelYUV.V,0.1,[(0|2)]
0.5972,6,ChannelYUV.U,0.1,[(3|5)]
0.5665,6,ChannelYUV.V,0.1,[(3|5)]
0.7332,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7763,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8012,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8158,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7332,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7851,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7061,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7749,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7178,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7887,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8216,6,ChannelYUV.U,0.1,[(0|5)]
0.8063,6,ChannelYUV.V,0.1,[(0|5)]
0.7156,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7734,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7208,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7668,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7288,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7909,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.6849,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7537,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5811,8,ChannelYUV.U,0.1,[(5|3)]
0.6213,8,ChannelYUV.V,0.1,[(5|3)]
0.7654,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7661,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6849,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7654,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7434,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7887,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7251,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7836,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5395,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5183,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5629,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5848,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6594,8,ChannelYUV.U,0.1,[(2|2)]
0.7098,8,ChannelYUV.V,0.1,[(2|2)]
0.7127,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7500,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7010,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7449,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5365,8,ChannelYUV.U,0.1,[(7|5)]
0.5885,8,ChannelYUV.V,0.1,[(7|5)]
