total_result,block_size,color_channel,bin_width,coefficients
0.6623,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6382,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5482,6,ChannelYUV.U,0.1,[(0|2)]
0.5797,6,ChannelYUV.V,0.1,[(0|2)]
0.7471,6,ChannelYUV.U,0.1,[(3|5)]
0.7434,6,ChannelYUV.V,0.1,[(3|5)]
0.6901,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.6352,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7887,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7858,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7537,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7208,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.6747,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.6367,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7127,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.6594,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7310,6,ChannelYUV.U,0.1,[(0|5)]
0.6901,6,ChannelYUV.V,0.1,[(0|5)]
0.7061,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6696,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6484,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6433,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6703,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6645,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.8991,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.9072,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7186,8,ChannelYUV.U,0.1,[(5|3)]
0.7047,8,ChannelYUV.V,0.1,[(5|3)]
0.8984,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.8794,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.8633,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.8618,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.9167,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.9152,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.9247,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.9225,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.8063,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.8151,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.8194,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.8406,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.7982,8,ChannelYUV.U,0.1,[(2|2)]
0.7909,8,ChannelYUV.V,0.1,[(2|2)]
0.9174,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.9189,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.8838,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.8838,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7266,8,ChannelYUV.U,0.1,[(7|5)]
0.7113,8,ChannelYUV.V,0.1,[(7|5)]
