total_result,block_size,color_channel,bin_width,coefficients
0.6886,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7244,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6433,6,ChannelYUV.U,0.1,[(0|2)]
0.7237,6,ChannelYUV.V,0.1,[(0|2)]
0.5475,6,ChannelYUV.U,0.1,[(3|5)]
0.5439,6,ChannelYUV.V,0.1,[(3|5)]
0.7222,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7624,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8246,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8173,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7083,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7624,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7325,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7522,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7193,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7741,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8370,6,ChannelYUV.U,0.1,[(0|5)]
0.8180,6,ChannelYUV.V,0.1,[(0|5)]
0.7010,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7522,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7178,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7186,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7273,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7346,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.6981,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7295,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5402,8,ChannelYUV.U,0.1,[(5|3)]
0.5351,8,ChannelYUV.V,0.1,[(5|3)]
0.7683,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7412,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6623,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7244,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7398,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7851,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7566,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7675,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5278,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5241,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5417,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5446,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6133,8,ChannelYUV.U,0.1,[(2|2)]
0.6338,8,ChannelYUV.V,0.1,[(2|2)]
0.7383,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7544,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.6827,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7032,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5124,8,ChannelYUV.U,0.1,[(7|5)]
0.5285,8,ChannelYUV.V,0.1,[(7|5)]
