total_result,block_size,color_channel,bin_width,coefficients
0.2317,6,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.7149,6,ChannelYUV.U,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.7668,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.0680,6,ChannelYUV.Y,0.1,[(0|0)(1|0)]
0.4152,6,ChannelYUV.U,0.1,[(0|0)(1|0)]
0.4342,6,ChannelYUV.V,0.1,[(0|0)(1|0)]
0.1111,6,ChannelYUV.Y,0.1,[(0|0)(0|1)(2|3)]
0.5673,6,ChannelYUV.U,0.1,[(0|0)(0|1)(2|3)]
0.6162,6,ChannelYUV.V,0.1,[(0|0)(0|1)(2|3)]
0.1806,6,ChannelYUV.Y,0.1,[(0|0)(3|4)]
0.5227,6,ChannelYUV.U,0.1,[(0|0)(3|4)]
0.5249,6,ChannelYUV.V,0.1,[(0|0)(3|4)]
0.4189,6,ChannelYUV.Y,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.8004,6,ChannelYUV.U,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.8158,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.4444,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.7719,8,ChannelYUV.U,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.7968,8,ChannelYUV.V,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.2836,8,ChannelYUV.Y,0.1,[(0|0)(1|4)]
0.5797,8,ChannelYUV.U,0.1,[(0|0)(1|4)]
0.6148,8,ChannelYUV.V,0.1,[(0|0)(1|4)]
0.3918,8,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.7529,8,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.7434,8,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.3406,8,ChannelYUV.Y,0.1,[(0|0)(5|4)]
0.5636,8,ChannelYUV.U,0.1,[(0|0)(5|4)]
0.5651,8,ChannelYUV.V,0.1,[(0|0)(5|4)]
0.5263,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.7412,8,ChannelYUV.U,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.7573,8,ChannelYUV.V,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.1455,10,ChannelYUV.Y,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.5687,10,ChannelYUV.U,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.5607,10,ChannelYUV.V,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.2120,10,ChannelYUV.Y,0.1,[(0|0)(8|5)]
0.4978,10,ChannelYUV.U,0.1,[(0|0)(8|5)]
0.4737,10,ChannelYUV.V,0.1,[(0|0)(8|5)]
0.0753,10,ChannelYUV.Y,0.1,[(0|0)(1|2)]
0.3640,10,ChannelYUV.U,0.1,[(0|0)(1|2)]
0.3823,10,ChannelYUV.V,0.1,[(0|0)(1|2)]
0.0702,10,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.3611,10,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.3735,10,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.1096,10,ChannelYUV.Y,0.1,[(0|0)(4|4)]
0.4123,10,ChannelYUV.U,0.1,[(0|0)(4|4)]
0.3918,10,ChannelYUV.V,0.1,[(0|0)(4|4)]
0.3012,12,ChannelYUV.Y,0.1,[(0|0)(0|1)(0|8)(1|11)(2|5)]
0.6908,12,ChannelYUV.U,0.1,[(0|0)(0|1)(0|8)(1|11)(2|5)]
0.7091,12,ChannelYUV.V,0.1,[(0|0)(0|1)(0|8)(1|11)(2|5)]
0.0870,12,ChannelYUV.Y,0.1,[(0|0)(2|1)]
0.3319,12,ChannelYUV.U,0.1,[(0|0)(2|1)]
0.3385,12,ChannelYUV.V,0.1,[(0|0)(2|1)]
0.1411,12,ChannelYUV.Y,0.1,[(0|0)(5|0)(0|4)(0|7)]
0.6462,12,ChannelYUV.U,0.1,[(0|0)(5|0)(0|4)(0|7)]
0.6433,12,ChannelYUV.V,0.1,[(0|0)(5|0)(0|4)(0|7)]
0.1572,12,ChannelYUV.Y,0.1,[(0|0)(7|4)]
0.4159,12,ChannelYUV.U,0.1,[(0|0)(7|4)]
0.3830,12,ChannelYUV.V,0.1,[(0|0)(7|4)]
0.3655,12,ChannelYUV.Y,0.1,[(0|0)(3|2)(3|10)(9|10)(1|11)]
0.7303,12,ChannelYUV.U,0.1,[(0|0)(3|2)(3|10)(9|10)(1|11)]
0.7317,12,ChannelYUV.V,0.1,[(0|0)(3|2)(3|10)(9|10)(1|11)]
0.2091,14,ChannelYUV.Y,0.1,[(0|0)(0|1)(10|9)(1|9)(2|1)]
0.5577,14,ChannelYUV.U,0.1,[(0|0)(0|1)(10|9)(1|9)(2|1)]
0.5658,14,ChannelYUV.V,0.1,[(0|0)(0|1)(10|9)(1|9)(2|1)]
0.1974,14,ChannelYUV.Y,0.1,[(0|0)(12|3)]
0.3772,14,ChannelYUV.U,0.1,[(0|0)(12|3)]
0.3860,14,ChannelYUV.V,0.1,[(0|0)(12|3)]
0.1959,14,ChannelYUV.Y,0.1,[(0|0)(1|11)]
0.3801,14,ChannelYUV.U,0.1,[(0|0)(1|11)]
0.3655,14,ChannelYUV.V,0.1,[(0|0)(1|11)]
0.1425,14,ChannelYUV.Y,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.6250,14,ChannelYUV.U,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.6542,14,ChannelYUV.V,0.1,[(0|0)(4|4)(0|4)(0|7)]
0.1323,14,ChannelYUV.Y,0.1,[(0|0)(6|4)]
0.3494,14,ChannelYUV.U,0.1,[(0|0)(6|4)]
0.3268,14,ChannelYUV.V,0.1,[(0|0)(6|4)]
