total_result,block_size,color_channel,bin_width,coefficients
0.6637,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6813,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5146,6,ChannelYUV.U,0.1,[(0|2)]
0.5154,6,ChannelYUV.V,0.1,[(0|2)]
0.5658,6,ChannelYUV.U,0.1,[(3|5)]
0.5753,6,ChannelYUV.V,0.1,[(3|5)]
0.7054,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7339,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7646,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7434,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.6784,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.6820,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.6988,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7061,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7273,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7361,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.6981,6,ChannelYUV.U,0.1,[(0|5)]
0.6966,6,ChannelYUV.V,0.1,[(0|5)]
0.7251,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7098,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6572,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6667,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6484,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6674,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7390,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7390,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5219,8,ChannelYUV.U,0.1,[(5|3)]
0.4839,8,ChannelYUV.V,0.1,[(5|3)]
0.7054,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.6813,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6418,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.6433,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7463,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7734,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7675,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7624,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5512,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5716,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5592,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5921,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.5651,8,ChannelYUV.U,0.1,[(2|2)]
0.6082,8,ChannelYUV.V,0.1,[(2|2)]
0.7288,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7602,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.6908,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7186,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.6060,8,ChannelYUV.U,0.1,[(7|5)]
0.6009,8,ChannelYUV.V,0.1,[(7|5)]
